"date","ni","day"
2020-01-01,38,"Wed"
2020-01-02,1486,"Thu"
2020-01-03,1620,"Fri"
2020-01-04,0,NA
2020-01-05,1,"Sun"
2020-01-06,2186,"Mon"
2020-01-07,1869,"Tue"
2020-01-08,1690,"Wed"
2020-01-09,2215,"Thu"
2020-01-10,1784,"Fri"
2020-01-11,0,NA
2020-01-12,0,NA
2020-01-13,2745,"Mon"
2020-01-14,2258,"Tue"
2020-01-15,2111,"Wed"
2020-01-16,1610,"Thu"
2020-01-17,2579,"Fri"
2020-01-18,0,NA
2020-01-19,1,"Sun"
2020-01-20,3098,"Mon"
2020-01-21,2225,"Tue"
2020-01-22,1726,"Wed"
2020-01-23,2209,"Thu"
2020-01-24,1837,"Fri"
2020-01-25,0,NA
2020-01-26,0,NA
2020-01-27,2608,"Mon"
2020-01-28,2379,"Tue"
2020-01-29,1576,"Wed"
2020-01-30,1565,"Thu"
2020-01-31,1621,"Fri"
2020-02-01,5,"Sat"
2020-02-02,0,NA
2020-02-03,2708,"Mon"
2020-02-04,2362,"Tue"
2020-02-05,2271,"Wed"
2020-02-06,2303,"Thu"
2020-02-07,2107,"Fri"
2020-02-08,0,NA
2020-02-09,0,NA
2020-02-10,2826,"Mon"
2020-02-11,2426,"Tue"
2020-02-12,2211,"Wed"
2020-02-13,2297,"Thu"
2020-02-14,2197,"Fri"
2020-02-15,467,"Sat"
2020-02-16,0,NA
2020-02-17,1967,"Mon"
2020-02-18,2001,"Tue"
2020-02-19,1987,"Wed"
2020-02-20,2056,"Thu"
2020-02-21,1799,"Fri"
2020-02-22,0,NA
2020-02-23,0,NA
2020-02-24,2402,"Mon"
2020-02-25,2511,"Tue"
2020-02-26,2627,"Wed"
2020-02-27,1748,"Thu"
2020-02-28,1901,"Fri"
2020-02-29,0,NA
2020-03-01,19,"Sun"
2020-03-02,2292,"Mon"
2020-03-03,1983,"Tue"
2020-03-04,2309,"Wed"
2020-03-05,1765,"Thu"
2020-03-06,1690,"Fri"
2020-03-07,0,NA
2020-03-08,1,"Sun"
2020-03-09,2885,"Mon"
2020-03-10,2228,"Tue"
2020-03-11,2437,"Wed"
2020-03-12,2360,"Thu"
2020-03-13,1472,"Fri"
2020-03-14,1,"Sat"
2020-03-15,2,"Sun"
2020-03-16,1885,"Mon"
2020-03-17,1827,"Tue"
2020-03-18,2346,"Wed"
2020-03-19,1571,"Thu"
2020-03-20,1459,"Fri"
2020-03-21,0,NA
2020-03-22,0,NA
2020-03-23,1385,"Mon"
2020-03-24,1428,"Tue"
2020-03-25,1504,"Wed"
2020-03-26,1104,"Thu"
2020-03-27,844,"Fri"
2020-03-28,0,NA
2020-03-29,0,NA
2020-03-30,1617,"Mon"
2020-03-31,1464,"Tue"
2020-04-01,1418,"Wed"
2020-04-02,1336,"Thu"
2020-04-03,1142,"Fri"
2020-04-04,0,NA
2020-04-05,0,NA
2020-04-06,1524,"Mon"
2020-04-07,1419,"Tue"
2020-04-08,969,"Wed"
2020-04-09,1150,"Thu"
2020-04-10,0,NA
2020-04-11,0,NA
2020-04-12,0,NA
2020-04-13,0,NA
2020-04-14,1444,"Tue"
2020-04-15,1609,"Wed"
2020-04-16,2050,"Thu"
2020-04-17,1453,"Fri"
2020-04-18,0,NA
2020-04-19,0,NA
2020-04-20,1702,"Mon"
2020-04-21,1462,"Tue"
2020-04-22,1420,"Wed"
2020-04-23,1085,"Thu"
2020-04-24,1206,"Fri"
