"week","x","ratioTo2019","ratioTo2020"
1,13212,2.4030556566024,1.835
2,15419,1.83997613365155,1.4421062476618
3,16247,1.8242757691444,1.39771163110805
4,15603,1.67864443249059,1.45022771633051
5,15951,1.88657599053814,1.62153095455932
6,17486,1.74319609211445,1.46534819408363
7,15047,1.68801884675791,1.35071813285458
8,17105,1.86045246900152,1.59042305904231
9,18930,1.99347093513058,1.79091769157994
10,16245,1.55663089306248,1.49338113623828
11,16566,1.64622875881944,1.65925480769231
12,17047,1.66914716537746,2.08169495664916
13,18587,1.70304196444933,2.84509413745599
14,14475,1.46197353802646,2.11653750548326
15,16364,1.52025269416574,4.59275891103003
16,14864,2.43153934238508,1.79603673272112
17,15966,1.79312668463612,2.21965800083414
18,13946,1.92332092125224,1.72920024798512
19,15579,1.66888055704339,1.93696381947035
20,17908,1.86599979160154,1.80870619129381
21,14397,1.81528180557307,1.66979819067502
22,12733,1.4655847145488,0.963089025035928
23,14319,1.59667707404103,0.841106672932331
24,13317,1.4276372212693,0.787196311402731
25,13677,1.55120789384144,0.798983526112864
26,14194,1.54770472140443,0.939005027785128
27,13575,1.33258074015903,0.740589198036007
28,12880,1.43031649083842,0.805755395683453
29,13004,1.50561537570916,0.780411690571926
30,13566,1.56344358649303,0.842242503259452
31,13089,1.51774118738404,0.780175239911784
32,13882,1.53817174515235,0.944161055566891
33,12921,1.50244186046512,0.804896281068959
34,13935,1.95716292134831,0.906990367091903
35,12520,1.52404138770542,0.877857243023419
36,13701,1.51559734513274,0.873899732108687
37,15500,1.61592994161802,0.986569919164916
38,14033,1.46604680317593,0.850845813375371
39,15515,1.5922619047619,0.93205574912892
40,14127,1.36690856313498,0.699806806360529
41,14144,1.31230283911672,0.910518861851423
42,16538,1.74286015386237,1.0684843002972
43,14776,1.48592115848753,0.922001747160864
