"week","Country","Oct2021","Oct2019","change"
1,"England (excl. Ldn)",8724,3924,122.324159021407
2,"England (excl. Ldn)",10185,5942,71.4069336923595
3,"England (excl. Ldn)",10890,6399,70.182841068917
4,"England (excl. Ldn)",10314,6737,53.0948493394686
5,"England (excl. Ldn)",10558,6023,75.2947036360618
6,"England (excl. Ldn)",11859,7200,64.7083333333333
7,"England (excl. Ldn)",9851,6403,53.8497579259722
8,"England (excl. Ldn)",11448,6517,75.6636489182139
9,"England (excl. Ldn)",12974,6797,90.8783286744152
10,"England (excl. Ldn)",10868,7602,42.9623783214943
11,"England (excl. Ldn)",11276,7342,53.5821302097521
12,"England (excl. Ldn)",11441,7416,54.2745415318231
13,"England (excl. Ldn)",12442,7812,59.2677931387609
14,"England (excl. Ldn)",9720,7073,37.4240067863707
15,"England (excl. Ldn)",10756,7686,39.9427530575072
16,"England (excl. Ldn)",9559,4397,117.398226063225
17,"England (excl. Ldn)",10406,6276,65.8062460165711
18,"England (excl. Ldn)",9153,5143,77.9700563873226
19,"England (excl. Ldn)",10261,6546,56.7522150931867
20,"England (excl. Ldn)",12017,6932,73.3554529717253
21,"England (excl. Ldn)",9546,5614,70.0391877449234
22,"England (excl. Ldn)",8300,6053,37.122088220717
23,"England (excl. Ldn)",9415,6398,47.1553610503282
24,"England (excl. Ldn)",8825,6581,34.0981613736514
25,"England (excl. Ldn)",9013,6301,43.0407871766386
26,"England (excl. Ldn)",9278,6451,43.8226631529995
27,"England (excl. Ldn)",8896,7283,22.1474667032816
28,"England (excl. Ldn)",8453,6468,30.6895485466914
29,"England (excl. Ldn)",8506,5998,41.8139379793264
30,"England (excl. Ldn)",9021,6257,44.1745245325236
31,"England (excl. Ldn)",8639,5986,44.3200801871033
32,"England (excl. Ldn)",9240,6435,43.5897435897436
33,"England (excl. Ldn)",8344,6141,35.8736362156001
34,"England (excl. Ldn)",9485,5013,89.2080590464791
35,"England (excl. Ldn)",8052,5501,46.3733866569715
36,"England (excl. Ldn)",9289,6491,43.1058388537976
37,"England (excl. Ldn)",10548,6881,53.2916727219881
38,"England (excl. Ldn)",9267,6801,36.2593736215263
39,"England (excl. Ldn)",10325,6850,50.7299270072993
40,"England (excl. Ldn)",9277,7386,25.6024911995667
41,"England (excl. Ldn)",9175,7659,19.7937067502285
42,"England (excl. Ldn)",10376,6793,52.745473281319
43,"England (excl. Ldn)",9259,7077,30.8322735622439
1,"Northern Ireland",145,91,59.3406593406593
2,"Northern Ireland",189,105,80
3,"Northern Ireland",202,103,96.1165048543689
4,"Northern Ireland",148,102,45.0980392156863
5,"Northern Ireland",221,122,81.1475409836065
6,"Northern Ireland",228,138,65.2173913043478
7,"Northern Ireland",209,136,53.6764705882353
8,"Northern Ireland",231,137,68.6131386861314
9,"Northern Ireland",246,123,100
10,"Northern Ireland",209,151,38.4105960264901
11,"Northern Ireland",187,102,83.3333333333333
12,"Northern Ireland",247,143,72.7272727272727
13,"Northern Ireland",270,151,78.8079470198676
14,"Northern Ireland",155,153,1.30718954248366
15,"Northern Ireland",275,147,87.0748299319728
16,"Northern Ireland",197,88,123.863636363636
17,"Northern Ireland",171,112,52.6785714285714
18,"Northern Ireland",160,103,55.3398058252427
19,"Northern Ireland",192,139,38.1294964028777
20,"Northern Ireland",191,139,37.410071942446
21,"Northern Ireland",183,114,60.5263157894737
22,"Northern Ireland",150,139,7.9136690647482
23,"Northern Ireland",172,130,32.3076923076923
24,"Northern Ireland",175,119,47.0588235294118
25,"Northern Ireland",185,142,30.2816901408451
26,"Northern Ireland",149,120,24.1666666666667
27,"Northern Ireland",258,101,155.445544554455
28,"Northern Ireland",134,79,69.620253164557
29,"Northern Ireland",164,165,-0.60606060606061
30,"Northern Ireland",155,138,12.3188405797102
31,"Northern Ireland",168,104,61.5384615384615
32,"Northern Ireland",187,97,92.7835051546392
33,"Northern Ireland",190,105,80.9523809523809
34,"Northern Ireland",190,79,140.506329113924
35,"Northern Ireland",175,139,25.8992805755396
36,"Northern Ireland",168,124,35.4838709677419
37,"Northern Ireland",147,123,19.5121951219512
38,"Northern Ireland",207,114,81.5789473684211
39,"Northern Ireland",168,136,23.5294117647059
40,"Northern Ireland",179,149,20.1342281879195
41,"Northern Ireland",162,127,27.5590551181102
42,"Northern Ireland",182,119,52.9411764705882
43,"Northern Ireland",179,136,31.6176470588235
1,"Scotland",485,195,148.717948717949
2,"Scotland",713,458,55.6768558951965
3,"Scotland",656,441,48.7528344671202
4,"Scotland",723,440,64.3181818181818
5,"Scotland",754,458,64.6288209606987
6,"Scotland",771,493,56.3894523326572
7,"Scotland",791,459,72.3311546840958
8,"Scotland",793,634,25.0788643533123
9,"Scotland",776,487,59.3429158110883
10,"Scotland",730,518,40.9266409266409
11,"Scotland",776,566,37.1024734982332
12,"Scotland",753,528,42.6136363636364
13,"Scotland",883,564,56.5602836879433
14,"Scotland",771,536,43.8432835820896
15,"Scotland",766,434,76.4976958525346
16,"Scotland",740,323,129.102167182663
17,"Scotland",734,522,40.6130268199234
18,"Scotland",639,377,69.4960212201592
19,"Scotland",800,529,51.2287334593573
20,"Scotland",675,374,80.4812834224599
21,"Scotland",714,505,41.3861386138614
22,"Scotland",577,501,15.1696606786427
23,"Scotland",700,451,55.2106430155211
24,"Scotland",612,474,29.1139240506329
25,"Scotland",607,449,35.1893095768374
26,"Scotland",650,495,31.3131313131313
27,"Scotland",595,426,39.6713615023474
28,"Scotland",516,433,19.1685912240185
29,"Scotland",549,436,25.9174311926605
30,"Scotland",549,391,40.4092071611253
31,"Scotland",651,493,32.0486815415822
32,"Scotland",631,430,46.7441860465116
33,"Scotland",681,470,44.8936170212766
34,"Scotland",662,370,78.9189189189189
35,"Scotland",668,596,12.0805369127517
36,"Scotland",617,460,34.1304347826087
37,"Scotland",636,450,41.3333333333333
38,"Scotland",668,479,39.4572025052192
39,"Scotland",631,544,15.9926470588235
40,"Scotland",723,531,36.1581920903955
41,"Scotland",608,495,22.8282828282828
42,"Scotland",627,437,43.4782608695652
43,"Scotland",693,456,51.9736842105263
1,"Wales",595,245,142.857142857143
2,"Wales",698,409,70.6601466992665
3,"Wales",848,429,97.6689976689977
4,"Wales",730,449,62.5835189309577
5,"Wales",709,384,84.6354166666667
6,"Wales",778,474,64.1350210970464
7,"Wales",696,439,58.5421412300683
8,"Wales",824,403,104.466501240695
9,"Wales",793,451,75.8314855875831
10,"Wales",689,538,28.0669144981413
11,"Wales",750,438,71.2328767123288
12,"Wales",824,510,61.5686274509804
13,"Wales",833,520,60.1923076923077
14,"Wales",657,474,38.6075949367089
15,"Wales",744,477,55.9748427672956
16,"Wales",649,254,155.511811023622
17,"Wales",704,400,76
18,"Wales",662,321,106.230529595016
19,"Wales",670,431,55.4524361948956
20,"Wales",810,410,97.5609756097561
21,"Wales",626,459,36.3834422657952
22,"Wales",506,396,27.7777777777778
23,"Wales",604,422,43.127962085308
24,"Wales",641,413,55.2058111380145
25,"Wales",576,419,37.4701670644391
26,"Wales",648,461,40.5639913232104
27,"Wales",681,468,45.5128205128205
28,"Wales",633,391,61.8925831202046
29,"Wales",703,367,91.5531335149864
30,"Wales",596,421,41.5676959619953
31,"Wales",623,411,51.5815085158151
32,"Wales",612,454,34.8017621145374
33,"Wales",559,403,38.7096774193548
34,"Wales",595,322,84.7826086956522
35,"Wales",599,372,61.0215053763441
36,"Wales",566,450,25.7777777777778
37,"Wales",755,434,73.963133640553
38,"Wales",639,424,50.7075471698113
39,"Wales",852,394,116.243654822335
40,"Wales",693,445,55.7303370786517
41,"Wales",638,549,16.2112932604736
42,"Wales",714,436,63.7614678899083
43,"Wales",688,444,54.9549549549549
1,"London",3489,1062,228.531073446328
2,"London",3953,1640,141.036585365854
3,"London",4143,1696,144.280660377358
4,"London",4007,1773,126.001128031585
5,"London",4034,1605,151.339563862928
6,"London",4290,1925,122.857142857143
7,"London",3791,1649,129.896907216495
8,"London",4268,1638,160.561660561661
9,"London",4613,1820,153.461538461538
10,"London",4085,1894,115.681098204857
11,"London",3951,1774,122.71702367531
12,"London",4176,1860,124.516129032258
13,"London",4563,2075,119.903614457831
14,"London",3503,1768,98.1334841628959
15,"London",4228,2143,97.293513765749
16,"London",4007,1151,248.132059079062
17,"London",4287,1740,146.379310344828
18,"London",3653,1409,159.261887863733
19,"London",3996,1853,115.650296815974
20,"London",4624,1899,143.496577145866
21,"London",3624,1490,143.221476510067
22,"London",3443,1736,98.3294930875576
23,"London",3727,1737,114.565342544617
24,"London",3367,1867,80.3427959292983
25,"London",3551,1649,115.34263189812
26,"London",3761,1797,109.29326655537
27,"London",3421,2122,61.2158341187559
28,"London",3396,1799,88.7715397443024
29,"London",3356,1806,85.8250276854928
30,"London",3528,1640,115.121951219512
31,"London",3299,1762,87.2304199772985
32,"London",3511,1796,95.4899777282851
33,"London",3430,1657,107.000603500302
34,"London",3304,1449,128.019323671498
35,"London",3321,1698,95.5830388692579
36,"London",3361,1677,100.417412045319
37,"London",3832,1854,106.688241639698
38,"London",3591,1899,89.0995260663507
39,"London",3930,1956,100.920245398773
40,"London",3573,1996,79.0080160320641
41,"London",3876,2133,81.7158931082982
42,"London",4987,1871,166.541956173169
43,"London",4298,2013,113.51217088922
