"week","AreaCovered","Oct2021","Oct2019","change"
1,"Central London",1493,270,452.962962962963
2,"Central London",1545,411,275.912408759124
3,"Central London",1624,417,289.448441247002
4,"Central London",1511,469,222.174840085288
5,"Central London",1623,429,278.321678321678
6,"Central London",1668,477,249.685534591195
7,"Central London",1502,406,269.950738916256
8,"Central London",1605,394,307.360406091371
9,"Central London",1753,419,318.377088305489
10,"Central London",1529,500,205.8
11,"Central London",1502,423,255.082742316785
12,"Central London",1633,452,261.283185840708
13,"Central London",1830,531,244.632768361582
14,"Central London",1322,409,223.227383863081
15,"Central London",1749,611,186.252045826514
16,"Central London",1577,255,518.43137254902
17,"Central London",1826,431,323.665893271462
18,"Central London",1425,371,284.097035040431
19,"Central London",1484,434,241.935483870968
20,"Central London",1813,468,287.393162393162
21,"Central London",1355,358,278.491620111732
22,"Central London",1326,443,199.322799097065
23,"Central London",1398,440,217.727272727273
24,"Central London",1228,446,175.336322869955
25,"Central London",1270,413,207.506053268765
26,"Central London",1387,495,180.20202020202
27,"Central London",1229,571,115.23642732049
28,"Central London",1329,445,198.651685393258
29,"Central London",1332,472,182.203389830508
30,"Central London",1354,451,200.221729490022
31,"Central London",1233,469,162.899786780384
32,"Central London",1341,492,172.560975609756
33,"Central London",1363,445,206.292134831461
34,"Central London",1255,364,244.78021978022
35,"Central London",1359,483,181.366459627329
36,"Central London",1258,430,192.558139534884
37,"Central London",1394,523,166.539196940727
38,"Central London",1374,530,159.245283018868
39,"Central London",1483,462,220.995670995671
40,"Central London",1249,520,140.192307692308
41,"Central London",1376,562,144.839857651246
42,"Central London",1536,515,198.252427184466
43,"Central London",1414,519,172.447013487476
1,"East London",446,143,211.888111888112
2,"East London",536,284,88.7323943661972
3,"East London",548,274,100
4,"East London",538,304,76.9736842105263
5,"East London",543,243,123.456790123457
6,"East London",524,306,71.2418300653595
7,"East London",495,281,76.1565836298932
8,"East London",574,296,93.9189189189189
9,"East London",581,309,88.0258899676375
10,"East London",544,299,81.9397993311037
11,"East London",534,301,77.4086378737542
12,"East London",549,294,86.734693877551
13,"East London",614,339,81.1209439528024
14,"East London",513,274,87.2262773722628
15,"East London",540,336,60.7142857142857
16,"East London",537,189,184.126984126984
17,"East London",511,312,63.7820512820513
18,"East London",509,198,157.070707070707
19,"East London",564,281,100.711743772242
20,"East London",635,327,94.1896024464832
21,"East London",490,254,92.9133858267716
22,"East London",440,278,58.273381294964
23,"East London",510,290,75.8620689655172
24,"East London",449,292,53.7671232876712
25,"East London",475,262,81.2977099236641
26,"East London",532,276,92.7536231884058
27,"East London",488,327,49.2354740061162
28,"East London",425,307,38.4364820846905
29,"East London",417,271,53.8745387453875
30,"East London",473,257,84.0466926070039
31,"East London",400,319,25.3918495297806
32,"East London",429,270,58.8888888888889
33,"East London",389,263,47.9087452471483
34,"East London",438,243,80.2469135802469
35,"East London",407,243,67.4897119341564
36,"East London",453,266,70.3007518796992
37,"East London",471,301,56.4784053156146
38,"East London",445,282,57.8014184397163
39,"East London",511,359,42.3398328690808
40,"East London",423,310,36.4516129032258
41,"East London",646,341,89.4428152492669
42,"East London",765,270,183.333333333333
43,"East London",776,363,113.774104683196
1,"North London",575,249,130.923694779116
2,"North London",710,344,106.395348837209
3,"North London",774,367,110.899182561308
4,"North London",754,325,132
5,"North London",699,324,115.740740740741
6,"North London",880,394,123.350253807107
7,"North London",690,325,112.307692307692
8,"North London",781,351,122.507122507123
9,"North London",870,357,143.697478991597
10,"North London",798,404,97.5247524752475
11,"North London",759,369,105.691056910569
