"date","ni","day","av7"
2019-01-01,57,"Tue",NA
2019-01-02,1052,"Wed",NA
2019-01-03,1047,"Thu",NA
2019-01-04,1506,"Fri",NA
2019-01-05,1,"Sat",NA
2019-01-06,0,NA,NA
2019-01-07,1835,"Mon",785.428571428571
2019-01-08,1791,"Tue",1033.14285714286
2019-01-09,1471,"Wed",1093
2019-01-10,1516,"Thu",1160
2019-01-11,1432,"Fri",1149.42857142857
2019-01-12,0,NA,1149.28571428571
2019-01-13,1,"Sun",1149.42857142857
2019-01-14,2169,"Mon",1197.14285714286
2019-01-15,1780,"Tue",1195.57142857143
2019-01-16,2023,"Wed",1274.42857142857
2019-01-17,1672,"Thu",1296.71428571429
2019-01-18,1573,"Fri",1316.85714285714
2019-01-19,0,NA,1316.85714285714
2019-01-20,0,NA,1316.71428571429
2019-01-21,1858,"Mon",1272.28571428571
2019-01-22,1707,"Tue",1261.85714285714
2019-01-23,1749,"Wed",1222.71428571429
2019-01-24,1659,"Thu",1220.85714285714
2019-01-25,1548,"Fri",1217.28571428571
2019-01-26,0,NA,1217.28571428571
2019-01-27,0,NA,1217.28571428571
2019-01-28,2632,"Mon",1327.85714285714
2019-01-29,1759,"Tue",1335.28571428571
2019-01-30,1567,"Wed",1309.28571428571
2019-01-31,1470,"Thu",1282.28571428571
2019-02-01,1590,"Fri",1288.28571428571
2019-02-02,1,"Sat",1288.42857142857
2019-02-03,0,NA,1288.42857142857
2019-02-04,2068,"Mon",1207.85714285714
2019-02-05,1833,"Tue",1218.42857142857
2019-02-06,1862,"Wed",1260.57142857143
2019-02-07,1913,"Thu",1323.85714285714
2019-02-08,1647,"Fri",1332
2019-02-09,0,NA,1331.85714285714
2019-02-10,1,"Sun",1332
2019-02-11,2775,"Mon",1433
2019-02-12,1898,"Tue",1442.28571428571
2019-02-13,1837,"Wed",1438.71428571429
2019-02-14,1472,"Thu",1375.71428571429
2019-02-15,1868,"Fri",1407.28571428571
2019-02-16,0,NA,1407.28571428571
2019-02-17,0,NA,1407.14285714286
2019-02-18,1839,"Mon",1273.42857142857
2019-02-19,2034,"Tue",1292.85714285714
2019-02-20,1821,"Wed",1290.57142857143
2019-02-21,1492,"Thu",1293.42857142857
2019-02-22,1579,"Fri",1252.14285714286
2019-02-23,59,"Sat",1260.57142857143
2019-02-24,0,NA,1260.57142857143
2019-02-25,2209,"Mon",1313.42857142857
2019-02-26,1721,"Tue",1268.71428571429
2019-02-27,1631,"Wed",1241.57142857143
2019-02-28,1713,"Thu",1273.14285714286
2019-03-01,1827,"Fri",1308.57142857143
2019-03-02,1,"Sat",1300.28571428571
2019-03-03,0,NA,1300.28571428571
2019-03-04,2603,"Mon",1356.57142857143
2019-03-05,2029,"Tue",1400.57142857143
2019-03-06,1726,"Wed",1414.14285714286
2019-03-07,1867,"Thu",1436.14285714286
2019-03-08,1994,"Fri",1460
2019-03-09,1115,"Sat",1619.14285714286
2019-03-10,2,"Sun",1619.42857142857
2019-03-11,1703,"Mon",1490.85714285714
2019-03-12,1927,"Tue",1476.28571428571
2019-03-13,2129,"Wed",1533.85714285714
2019-03-14,1637,"Thu",1501
2019-03-15,1975,"Fri",1498.28571428571
2019-03-16,1,"Sat",1339.14285714286
2019-03-17,0,NA,1338.85714285714
2019-03-18,2394,"Mon",1437.57142857143
2019-03-19,1974,"Tue",1444.28571428571
2019-03-20,1787,"Wed",1395.42857142857
2019-03-21,2023,"Thu",1450.57142857143
2019-03-22,1632,"Fri",1401.57142857143
2019-03-23,1489,"Sat",1614.14285714286
2019-03-24,0,NA,1614.14285714286
2019-03-25,1308,"Mon",1459
2019-03-26,1764,"Tue",1429
2019-03-27,2034,"Wed",1464.28571428571
2019-03-28,1743,"Thu",1424.28571428571
2019-03-29,1878,"Fri",1459.42857142857
2019-03-30,1515,"Sat",1463.14285714286
2019-03-31,3,"Sun",1463.57142857143
2019-04-01,1977,"Mon",1559.14285714286
2019-04-02,1809,"Tue",1565.57142857143
2019-04-03,2081,"Wed",1572.28571428571
2019-04-04,1611,"Thu",1553.42857142857
2019-04-05,2117,"Fri",1587.57142857143
2019-04-06,55,"Sat",1379
2019-04-07,1,"Sun",1378.71428571429
2019-04-08,2227,"Mon",1414.42857142857
2019-04-09,2066,"Tue",1451.14285714286
2019-04-10,1962,"Wed",1434.14285714286
2019-04-11,1885,"Thu",1473.28571428571
2019-04-12,2021,"Fri",1459.57142857143
2019-04-13,895,"Sat",1579.57142857143
2019-04-14,0,NA,1579.42857142857
2019-04-15,1935,"Mon",1537.71428571429
2019-04-16,1507,"Tue",1457.85714285714
2019-04-17,1730,"Wed",1424.71428571429
2019-04-18,1864,"Thu",1421.71428571429
2019-04-19,0,NA,1133
2019-04-20,1012,"Sat",1149.71428571429
2019-04-21,0,NA,1149.71428571429
2019-04-22,0,NA,873.285714285714
2019-04-23,1864,"Tue",924.285714285714
2019-04-24,1671,"Wed",915.857142857143
2019-04-25,1585,"Thu",876
2019-04-26,1591,"Fri",1103.28571428571
2019-04-27,4,"Sat",959.285714285714
2019-04-28,0,NA,959.285714285714
2019-04-29,2189,"Mon",1272
2019-04-30,1565,"Tue",1229.28571428571
2019-05-01,2137,"Wed",1295.85714285714
2019-05-02,1600,"Thu",1298
2019-05-03,1948,"Fri",1349
2019-05-04,0,NA,1348.42857142857
2019-05-05,0,NA,1348.42857142857
2019-05-06,1,"Mon",1035.85714285714
2019-05-07,2202,"Tue",1126.85714285714
2019-05-08,1875,"Wed",1089.42857142857
2019-05-09,1515,"Thu",1077.28571428571
2019-05-10,1811,"Fri",1057.71428571429
2019-05-11,0,NA,1057.71428571429
2019-05-12,0,NA,1057.71428571429
2019-05-13,1932,"Mon",1333.57142857143
2019-05-14,1743,"Tue",1268
2019-05-15,1854,"Wed",1265
2019-05-16,1838,"Thu",1311.14285714286
